track_name,rank,date,artist_name,region,chart_type,position_change,weeks_on_chart,peak_position,previous_rank,source_type,spotify_track_id,duration,explicit,artist_id,genres,artist_count,release_date,track_id,mb_country,mb_type
#Ayfkm (Freestyle),200,2019-09-02,ECKO,Argentina,top200,NEW_ENTRY,1,200,,charts_top200,4kTP0dh5AxnfpBLJINUqi7,115.017,True,2Jb9jVnCpWkXtoGznFJ6bF,"[""rkt"", ""turreo"", ""argentine trap"", ""trap""]",1.0,2019-08-30,,,
#Natural,192,2017-12-11,"Paty Cantú, Juhn",Argentina,top200,MOVE_DOWN,14,52,,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,166,2017-12-18,"Paty Cantú, Juhn",Argentina,top200,MOVE_DOWN,14,52,192.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,188,2017-12-25,"Paty Cantú, Juhn",Argentina,top200,MOVE_DOWN,14,52,166.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,183,2018-01-01,"Paty Cantú, Juhn",Argentina,top200,MOVE_DOWN,14,52,188.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,52,2018-01-08,"Paty Cantú, Juhn",Argentina,top200,SAME_POSITION,14,52,183.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,54,2018-01-15,"Paty Cantú, Juhn",Argentina,top200,MOVE_UP,14,52,52.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,63,2018-01-22,"Paty Cantú, Juhn",Argentina,top200,MOVE_DOWN,14,52,54.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,83,2018-01-29,"Paty Cantú, Juhn",Argentina,top200,MOVE_UP,14,52,63.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,83,2018-02-05,"Paty Cantú, Juhn",Argentina,top200,MOVE_UP,14,52,83.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
